,id,category_id,property_type_id
190,191,39,1
191,192,39,2
192,193,39,3
193,194,39,4
194,195,39,1
195,196,40,1
196,197,40,2
197,198,40,3
198,199,40,4
199,200,40,1
200,201,41,1
201,202,41,2
202,203,41,3
203,204,41,4
204,205,41,3
205,206,42,1
206,207,42,2
207,208,42,3
208,209,42,4
209,210,42,1
210,211,43,1
211,212,43,2
212,213,43,3
213,214,43,4
214,215,43,4
215,216,44,1
216,217,44,2
217,218,44,3
218,219,44,4
219,220,44,1
220,221,45,1
221,222,45,2
222,223,45,3
223,224,45,4
224,225,45,2
225,226,46,1
226,227,46,2
227,228,46,3
228,229,46,4
229,230,46,1
230,231,47,1
231,232,47,2
232,233,47,3
233,234,47,4
234,235,47,4
235,236,48,1
236,237,48,2
237,238,48,3
238,239,48,4
239,240,48,3
240,241,49,1
241,242,49,2
242,243,49,3
243,244,49,4
244,245,49,4
245,246,50,1
246,247,50,2
247,248,50,3
248,249,50,4
249,250,50,4
250,251,51,1
251,252,51,2
252,253,51,3
253,254,51,4
254,255,51,1
255,256,52,1
256,257,52,2
257,258,52,3
258,259,52,4
259,260,52,1
260,261,53,1
261,262,53,2
262,263,53,3
263,264,53,4
264,265,53,2
265,266,54,1
266,267,54,2
267,268,54,3
268,269,54,4
269,270,54,4
270,271,55,1
271,272,55,2
272,273,55,3
273,274,55,4
274,275,55,4
275,276,56,1
276,277,56,2
277,278,56,3
278,279,56,4
279,280,56,3
280,281,57,1
281,282,57,2
282,283,57,3
283,284,57,4
284,285,57,1
285,286,58,1
286,287,58,2
287,288,58,3
288,289,58,4
289,290,58,3
290,291,59,1
291,292,59,2
292,293,59,3
293,294,59,4
294,295,59,4
295,296,60,1
296,297,60,2
297,298,60,3
298,299,60,4
299,300,60,2
300,301,61,1
301,302,61,2
302,303,61,3
303,304,61,4
304,305,61,3
305,306,62,1
306,307,62,2
307,308,62,3
308,309,62,4
309,310,62,4
310,311,63,1
311,312,63,2
312,313,63,3
313,314,63,4
314,315,63,3
315,316,64,1
316,317,64,2
317,318,64,3
318,319,64,4
319,320,64,1
320,321,65,1
321,322,65,2
322,323,65,3
323,324,65,4
324,325,65,3
325,326,66,1
326,327,66,2
327,328,66,3
328,329,66,4
329,330,66,1
330,331,67,1
331,332,67,2
332,333,67,3
333,334,67,4
334,335,67,4
335,336,68,1
336,337,68,2
337,338,68,3
338,339,68,4
339,340,68,4
340,341,69,1
341,342,69,2
342,343,69,3
343,344,69,4
344,345,69,4
345,346,70,1
346,347,70,2
347,348,70,3
348,349,70,4
349,350,70,1
350,351,71,1
351,352,71,2
352,353,71,3
353,354,71,4
354,355,71,2
355,356,72,1
356,357,72,2
357,358,72,3
358,359,72,4
359,360,72,1
360,361,73,1
361,362,73,2
362,363,73,3
363,364,73,4
364,365,73,2
365,366,74,1
366,367,74,2
367,368,74,3
368,369,74,4
369,370,74,3
370,371,75,1
371,372,75,2
372,373,75,3
373,374,75,4
374,375,75,3
375,376,76,1
376,377,76,2
377,378,76,3
378,379,76,4
379,380,76,4
380,381,77,1
381,382,77,2
382,383,77,3
383,384,77,4
384,385,77,2
385,386,78,1
386,387,78,2
387,388,78,3
388,389,78,4
389,390,78,2
390,391,79,1
391,392,79,2
392,393,79,3
393,394,79,4
394,395,79,3
395,396,80,1
396,397,80,2
397,398,80,3
398,399,80,4
399,400,80,3
400,401,81,1
401,402,81,2
402,403,81,3
403,404,81,4
404,405,81,2
405,406,82,1
406,407,82,2
407,408,82,3
408,409,82,4
409,410,82,3
410,411,83,1
411,412,83,2
412,413,83,3
413,414,83,4
414,415,83,4
415,416,84,1
416,417,84,2
417,418,84,3
418,419,84,4
419,420,84,3
420,421,85,1
421,422,85,2
422,423,85,3
423,424,85,4
424,425,85,3
425,426,86,1
426,427,86,2
427,428,86,3
428,429,86,4
429,430,86,3
430,431,87,1
431,432,87,2
432,433,87,3
433,434,87,4
434,435,87,1
435,436,88,1
436,437,88,2
437,438,88,3
438,439,88,4
439,440,88,3
440,441,89,1
441,442,89,2
442,443,89,3
443,444,89,4
444,445,89,2
445,446,90,1
446,447,90,2
447,448,90,3
448,449,90,4
449,450,90,3
450,451,91,1
451,452,91,2
452,453,91,3
453,454,91,4
454,455,91,4
455,456,92,1
456,457,92,2
457,458,92,3
458,459,92,4
459,460,92,2
460,461,93,1
461,462,93,2
462,463,93,3
463,464,93,4
464,465,93,1
465,466,94,1
466,467,94,2
467,468,94,3
468,469,94,4
469,470,94,4
470,471,95,1
471,472,95,2
472,473,95,3
473,474,95,4
474,475,95,1
475,476,96,1
476,477,96,2
477,478,96,3
478,479,96,4
479,480,96,4
480,481,97,1
481,482,97,2
482,483,97,3
483,484,97,4
484,485,97,1
485,486,98,1
486,487,98,2
487,488,98,3
488,489,98,4
489,490,98,4
490,491,99,1
491,492,99,2
492,493,99,3
493,494,99,4
494,495,99,4
495,496,100,1
496,497,100,2
497,498,100,3
498,499,100,4
499,500,100,2
500,501,101,1
501,502,101,2
502,503,101,3
503,504,101,4
504,505,101,2
505,506,102,1
506,507,102,2
507,508,102,3
508,509,102,4
509,510,102,2
510,511,103,1
511,512,103,2
512,513,103,3
513,514,103,4
514,515,103,3
515,516,104,1
516,517,104,2
517,518,104,3
518,519,104,4
519,520,104,4
520,521,105,1
521,522,105,2
522,523,105,3
523,524,105,4
524,525,105,4
525,526,106,1
526,527,106,2
527,528,106,3
528,529,106,4
529,530,106,3
530,531,107,1
531,532,107,2
532,533,107,3
533,534,107,4
534,535,107,4
535,536,108,1
536,537,108,2
537,538,108,3
538,539,108,4
539,540,108,4
540,541,109,1
541,542,109,2
542,543,109,3
543,544,109,4
544,545,109,3
545,546,110,1
546,547,110,2
547,548,110,3
548,549,110,4
549,550,110,2
550,551,111,1
551,552,111,2
552,553,111,3
553,554,111,4
554,555,111,1
555,556,112,1
556,557,112,2
557,558,112,3
558,559,112,4
559,560,112,4
560,561,113,1
561,562,113,2
562,563,113,3
563,564,113,4
564,565,113,1
565,566,114,1
566,567,114,2
567,568,114,3
568,569,114,4
569,570,114,3
570,571,115,1
571,572,115,2
572,573,115,3
573,574,115,4
574,575,115,3
575,576,116,1
576,577,116,2
577,578,116,3
578,579,116,4
579,580,116,2
580,581,117,1
581,582,117,2
582,583,117,3
583,584,117,4
584,585,117,4
585,586,118,1
586,587,118,2
587,588,118,3
588,589,118,4
589,590,118,2
590,591,119,1
591,592,119,2
592,593,119,3
593,594,119,4
594,595,119,2
595,596,120,1
596,597,120,2
597,598,120,3
598,599,120,4
599,600,120,2
600,601,121,1
601,602,121,2
602,603,121,3
603,604,121,4
604,605,121,1
605,606,122,1
606,607,122,2
607,608,122,3
608,609,122,4
609,610,122,2
610,611,123,1
611,612,123,2
612,613,123,3
613,614,123,4
614,615,123,1
615,616,124,1
616,617,124,2
617,618,124,3
618,619,124,4
619,620,124,4
620,621,125,1
621,622,125,2
622,623,125,3
623,624,125,4
624,625,125,4
625,626,126,1
626,627,126,2
627,628,126,3
628,629,126,4
629,630,126,1
630,631,127,1
631,632,127,2
632,633,127,3
633,634,127,4
634,635,127,2
635,636,128,1
636,637,128,2
637,638,128,3
638,639,128,4
639,640,128,4
640,641,129,1
641,642,129,2
642,643,129,3
643,644,129,4
644,645,129,2
645,646,130,1
646,647,130,2
647,648,130,3
648,649,130,4
649,650,130,3
650,651,131,1
651,652,131,2
652,653,131,3
653,654,131,4
654,655,131,2
655,656,132,1
656,657,132,2
657,658,132,3
658,659,132,4
659,660,132,4
660,661,133,1
661,662,133,2
662,663,133,3
663,664,133,4
664,665,133,1
665,666,134,1
666,667,134,2
667,668,134,3
668,669,134,4
669,670,134,4
670,671,135,1
671,672,135,2
672,673,135,3
673,674,135,4
674,675,135,4
675,676,136,1
676,677,136,2
677,678,136,3
678,679,136,4
679,680,136,1
680,681,137,1
681,682,137,2
682,683,137,3
683,684,137,4
684,685,137,4
685,686,138,1
686,687,138,2
687,688,138,3
688,689,138,4
689,690,138,3
690,691,139,1
691,692,139,2
692,693,139,3
693,694,139,4
694,695,139,2
695,696,140,1
696,697,140,2
697,698,140,3
698,699,140,4
699,700,140,4
700,701,141,1
701,702,141,2
702,703,141,3
703,704,141,4
704,705,141,1
705,706,142,1
706,707,142,2
707,708,142,3
708,709,142,4
709,710,142,1
710,711,143,1
711,712,143,2
712,713,143,3
713,714,143,4
714,715,143,2
